ID,pclass,sex,age,sibsp,parch,fare,embarked,survived
1,3,male,20,0,0,4,C,0
2,3,female,18,0,0,7.2,C,1
3,2,male,,0,0,15.6,C,0
4,2,male,,0,0,0,S,0
5,3,female,2,3,2,27.9,S,0
6,1,Male,45,0,0,29.7,C,1
7,1,male,50,1,0,106.4,C,0
8,2,male,18,0,0,10.5,S,0
9,2,male,44,1,0,聽,S,0
10,1,female,23,3,2,263,S,1
11,2,male,25,0,0,10.5,S,0
12,3,female,,0,0,7.7,Q,1
13,1,female,22,0,0,151.6,S,1
14,3,female,,2,0,23.3,Q,1
15,1,male,30,1,0,57.8,C,1
16,1,female,55,0,0,135.6,C,1
17,3,male,32,0,0,22.5,S,0
18,3,male,26,0,0,7.9,Queenstown,0
19,1,male,,0,0,26,S,0
20,1,male,37,1,1,83.2,C,0
21,2,female,22,0,0,10.5,S,1
22,3,male,,1,2,23.5,S,0
23,3,male,20,1,0,7.9,S,1
24,2,male,28,0,0,13.5,S,0
25,3,male,28,0,0,7.9,S,0
26,2,male,25,0,0,10.5,S,0
27,1,female,30,0,0,31,C,1
28,1,male,41,1,0,聽,S,0
29,3,female,35,0,0,7.8,Q,0
30,2,female,27,1,0,21,S,0
31,2,female,36,0,3,39,S,1
32,2,male,30,0,0,10.5,S,0
33,1,female,47,1,1,52.6,S,1
34,3,female,22,0,0,7.8,S,1
35,2,male,23,0,0,15,C,0
36,2,female,8,0,2,26.3,S,1
37,3,male,29,0,0,7.9,S,0
38,3,female,,0,0,7.8,Q,1
39,1,male,25,1,0,55.4,C,1
40,1,male,36,0,0,75.2,C,0
41,3,male,21,0,0,7.9,S,0
42,2,female,,0,0,12.4,Q,1
43,3,female,18,0,1,14.5,C,0
44,3,male,,0,0,7.3,S,0
45,3,male,19,0,0,0,S,0
46,3,female,45,0,0,7.8,S,0
47,1,male,53,0,0,28.5,C,1
48,3,female,31,1,1,20.5,S,1
49,3,male,25,0,0,7.3,S,0
50,3,male,21,0,0,7.8,Q,0
51,3,male,12,1,0,11.2,C,1
52,1,male,39,1,0,71.3,C,0
53,1,male,50,1,1,211.5,C,0
54,3,male,18,0,0,7.8,S,0
55,1,male,36,0,0,40.1,C,0
56,2,male,63,1,0,26,S,0
57,2,male,32.5,1,0,30.1,C,0
58,3,male,55.5,0,0,8.1,S,0
59,3,male,19,0,0,7.9,S,0
60,1,male,38,0,0,0,S,0
61,2,male,27,0,0,15,C,0
62,3,male,22,0,0,7.2,C,1
63,3,male,34,1,1,聽,S,0
64,3,male,,0,0,7.8,Q,0
65,2,male,42,0,0,13,S,0
66,3,male,23,0,0,7.8,S,1
67,1,female,17,1,0,57,S,1
68,3,male,33,0,0,8.7,C,0
69,1,male,24,1,0,82.3,S,1
70,3,male,21,0,0,7.9,S,0
71,3,male,24,2,0,24.2,S,0
72,1,female,41,0,0,134.5,C,1
73,2,female,19,1,0,26,S,1
74,2,female,36,1,0,26,S,1
75,1,male,48,0,0,26.6,S,1
76,2,male,16,0,0,10.5,S,0
77,3,male,,0,0,8.1,S,0
78,1,male,35,0,0,26.6,C,1
79,1,female,49,0,0,25.9,S,1
80,3,male,,1,1,15.2,C,1
81,2,male,23,1,0,10.5,S,0
82,1,female,31,0,0,聽,C,1
83,1,male,36,1,0,78.9,S,0
84,3,male,32.5,0,0,9.5,S,0
85,3,male,44,0,0,8.1,S,0
86,3,male,,1,0,14.5,C,0
87,3,male,4,3,2,27.9,S,0
88,3,male,16,1,1,20.3,S,0
89,1,female,40,0,0,聽,S,1
90,3,male,25,0,0,聽,C,0
91,3,male,9,5,2,46.9,S,0
92,1,male,22,0,0,135.6,C,0
93,1,male,47,1,0,227.5,C,0
94,3,female,15,0,0,7.2,C,1
95,3,male,6,0,1,12.5,S,1
96,3,male,,0,0,7.6,S,0
97,2,male,21,1,0,11.5,S,0
98,1,male,55,0,0,50,S,0
99,1,female,51,1,0,78,S,1
100,3,male,50,0,0,8.1,S,0
101,3,male,,0,0,7.8,Q,0
102,3,male,,0,0,7.9,S,1
103,1,male,35,0,0,512.3,C,1
104,3,female,18,2,0,18,S,0
105,2,female,33,1,2,27.8,S,1
106,1,female,22,0,1,59.4,C,1
107,1,male,30,1,2,151.6,S,0
108,3,male,,0,0,7.2,C,0
109,1,male,31,1,0,52,S,0
110,3,female,19,0,0,7.9,Q,1
111,3,female,,1,0,15.5,Q,1
112,2,female,22,0,0,21,S,0
113,3,male,,0,0,7.8,Q,1
114,3,male,36,0,0,0,S,0
115,3,male,27,0,0,8.7,S,0
116,3,male,17,0,0,8.7,S,0
117,3,male,,2,0,21.7,C,0
118,1,female,33,0,0,86.5,S,1
119,3,male,,8,2,69.6,S,0
120,3,male,34,0,0,6.5,S,0
121,1,female,35,1,0,90,S,1
122,3,male,27,0,0,7.9,S,0
123,2,female,24,0,2,14.5,S,1
124,3,female,15,0,0,8,Queenstown,1
125,1,female,18,1,0,60,S,1
126,2,male,26,0,0,10.5,S,0
127,3,male,,0,0,7.6,S,0
128,1,female,38,0,0,227.5,C,1
129,2,male,21,0,0,13,S,0
130,3,female,26,0,0,7.9,S,1
131,3,male,17,0,0,8.7,S,0
132,2,male,42,1,1,32.5,S,0
133,3,female,,0,2,15.2,C,1
134,1,male,43,1,0,27.7,C,1
135,3,female,,1,0,15.5,Q,1
136,3,female,9,4,2,聽,S,0
137,1,female,22,0,1,62,C,1
138,3,female,9,1,1,15.2,C,0
139,1,male,50,0,0,26,S,0
140,2,male,32,0,0,13,S,0
141,3,male,22,0,0,7.8,S,0
142,2,female,0.9167,1,2,27.8,S,1
143,3,male,0.4167,0,1,8.5,C,1
144,2,male,18,0,0,13,S,0
145,3,male,9,0,2,20.5,S,1
146,3,male,,2,0,21.7,C,0
147,3,female,,8,2,69.6,S,0
148,3,male,11,5,2,46.9,S,0
149,2,male,52,0,0,13,S,0
150,3,male,29,0,0,8.1,S,0
151,3,male,16,0,0,9.5,S,0
152,1,female,48,0,0,25.9,S,1
153,3,female,23,0,0,8.7,S,0
154,3,male,35,0,0,8.1,S,0
155,2,female,60,1,0,26,S,0
